,Lower_edge,Upper_edge,Centre
173,1.02461,1.0306,1.0276049999999999
174,1.0306,1.03658,1.03359
175,1.03658,1.04257,1.0395750000000001
176,1.04257,1.04855,1.04556
177,1.04855,1.05454,1.051545
178,1.05454,1.06053,1.0575350000000001
179,1.06053,1.06651,1.06352
180,1.06651,1.0725,1.069505
181,1.0725,1.07849,1.075495
182,1.07849,1.08447,1.08148
183,1.08447,1.09046,1.087465
184,1.09046,1.09644,1.09345
185,1.09644,1.10243,1.0994350000000002
186,1.10243,1.10842,1.1054249999999999
187,1.10842,1.1144,1.11141
188,1.1144,1.12039,1.1173950000000001
189,1.12039,1.12637,1.12338
190,1.12637,1.13236,1.129365
191,1.13236,1.13835,1.1353550000000001
192,1.13835,1.14433,1.14134
193,1.14433,1.15032,1.147325
194,1.15032,1.1563,1.15331
195,1.1563,1.16229,1.1592950000000002
196,1.16229,1.16828,1.165285
197,1.16828,1.17426,1.17127
198,1.17426,1.18025,1.1772550000000002
199,1.18025,1.18623,1.18324
200,1.18623,1.19222,1.189225
201,1.19222,1.19821,1.1952150000000001
202,1.19821,1.20419,1.2012
203,1.20419,1.21018,1.207185
204,1.21018,1.21616,1.2131699999999999
205,1.21616,1.22215,1.219155
206,1.22215,1.22814,1.225145
207,1.22814,1.23412,1.23113
208,1.23412,1.24011,1.2371150000000002
209,1.24011,1.24609,1.2431
210,1.24609,1.25208,1.249085
211,1.25208,1.25807,1.2550750000000002
212,1.25807,1.26405,1.26106
213,1.26405,1.27004,1.267045
214,1.27004,1.27602,1.2730299999999999
215,1.27602,1.28201,1.279015
216,1.28201,1.288,1.285005
217,1.288,1.29398,1.2909899999999999
218,1.29398,1.29997,1.296975
219,1.29997,1.30595,1.3029600000000001
220,1.30595,1.31194,1.308945
221,1.31194,1.31793,1.3149350000000002
222,1.31793,1.32391,1.32092
223,1.32391,1.3299,1.326905
224,1.3299,1.33588,1.33289
225,1.33588,1.34187,1.3388749999999998
226,1.34187,1.34786,1.344865
227,1.34786,1.35384,1.3508499999999999
228,1.35384,1.35983,1.356835
229,1.35983,1.36581,1.3628200000000001
230,1.36581,1.3718,1.368805
231,1.3718,1.37779,1.374795
232,1.37779,1.38377,1.3807800000000001
233,1.38377,1.38976,1.386765
234,1.38976,1.39574,1.39275
235,1.39574,1.40173,1.3987349999999998
236,1.40173,1.40772,1.404725
237,1.40772,1.4137,1.41071
238,1.4137,1.41969,1.4166949999999998
239,1.41969,1.42567,1.42268
240,1.42567,1.43166,1.428665
241,1.43166,1.43765,1.434655
242,1.43765,1.44363,1.4406400000000001
243,1.44363,1.44962,1.446625
244,1.44962,1.4556,1.45261
245,1.4556,1.46159,1.4585949999999999
246,1.46159,1.46758,1.464585
247,1.46758,1.47356,1.47057
248,1.47356,1.47955,1.4765549999999998
249,1.47955,1.48553,1.48254
250,1.48553,1.49152,1.488525
251,1.49152,1.49751,1.4945149999999998
252,1.49751,1.50349,1.5005
253,1.50349,1.50948,1.506485
254,1.50948,1.51547,1.512475
255,1.51547,1.52145,1.5184600000000001
256,1.52145,1.52744,1.524445
257,1.52744,1.53342,1.53043
258,1.53342,1.53941,1.5364149999999999
259,1.53941,1.5454,1.542405
260,1.5454,1.55138,1.54839
261,1.55138,1.55737,1.5543749999999998
262,1.55737,1.56335,1.56036
263,1.56335,1.56934,1.566345
264,1.56934,1.57533,1.5723349999999998
265,1.57533,1.58131,1.57832
266,1.58131,1.5873,1.584305
267,1.5873,1.59328,1.59029
268,1.59328,1.59927,1.5962749999999999
269,1.59927,1.60526,1.602265
270,1.60526,1.61124,1.60825
271,1.61124,1.61723,1.6142349999999999
272,1.61723,1.62321,1.62022
273,1.62321,1.6292,1.6262050000000001
274,1.6292,1.63519,1.6321949999999998
275,1.63519,1.64117,1.63818
276,1.64117,1.64716,1.644165
277,1.64716,1.65314,1.65015
278,1.65314,1.65913,1.656135
279,1.65913,1.66512,1.662125
280,1.66512,1.6711,1.66811
281,1.6711,1.67709,1.6740949999999999
282,1.67709,1.68307,1.68008
283,1.68307,1.68906,1.6860650000000001
284,1.68906,1.69505,1.6920549999999999
285,1.69505,1.70103,1.69804
286,1.70103,1.70702,1.7040250000000001
287,1.70702,1.713,1.71001
288,1.713,1.71899,1.715995
289,1.71899,1.72498,1.721985
290,1.72498,1.73096,1.72797
291,1.73096,1.73695,1.733955
292,1.73695,1.74293,1.73994
293,1.74293,1.74892,1.7459250000000002
294,1.74892,1.75491,1.751915
295,1.75491,1.76089,1.7579
296,1.76089,1.76688,1.7638850000000001
297,1.76688,1.77286,1.76987
298,1.77286,1.77885,1.775855
299,1.77885,1.78484,1.7818450000000001
300,1.78484,1.79082,1.78783
301,1.79082,1.79681,1.793815
302,1.79681,1.80279,1.7997999999999998
303,1.80279,1.80878,1.805785
304,1.80878,1.81477,1.811775
305,1.81477,1.82075,1.81776
306,1.82075,1.82674,1.8237450000000002
307,1.82674,1.83272,1.82973
308,1.83272,1.83871,1.835715
309,1.83871,1.8447,1.8417050000000001
310,1.8447,1.85068,1.84769
311,1.85068,1.85667,1.853675
312,1.85667,1.86265,1.8596599999999999
313,1.86265,1.86864,1.865645
314,1.86864,1.87463,1.871635
315,1.87463,1.88061,1.8776199999999998
316,1.88061,1.8866,1.883605
317,1.8866,1.89258,1.88959
318,1.89258,1.89857,1.895575
319,1.89857,1.90456,1.9015650000000002
320,1.90456,1.91054,1.90755
321,1.91054,1.91653,1.913535
322,1.91653,1.92251,1.91952
323,1.92251,1.9285,1.925505
324,1.9285,1.93449,1.931495
325,1.93449,1.94047,1.9374799999999999
326,1.94047,1.94646,1.943465
327,1.94646,1.95245,1.949455
328,1.95245,1.95843,1.9554399999999998
329,1.95843,1.96442,1.961425
330,1.96442,1.9704,1.96741
331,1.9704,1.97639,1.973395
332,1.97639,1.98238,1.9793850000000002
333,1.98238,1.98836,1.98537
334,1.98836,1.99435,1.991355
335,1.99435,2.00033,1.99734
336,2.00033,2.00632,2.0033250000000002
337,2.00632,2.01231,2.009315
338,2.01231,2.01829,2.0153
339,2.01829,2.02428,2.0212849999999998
340,2.02428,2.03026,2.02727
341,2.03026,2.03625,2.033255
342,2.03625,2.04224,2.039245
343,2.04224,2.04822,2.04523
344,2.04822,2.05421,2.051215
345,2.05421,2.06019,2.0572
346,2.06019,2.06618,2.063185
347,2.06618,2.07217,2.069175
348,2.07217,2.07815,2.07516
349,2.07815,2.08414,2.0811450000000002
350,2.08414,2.09012,2.08713
351,2.09012,2.09611,2.093115
352,2.09611,2.1021,2.0991049999999998
353,2.1021,2.10808,2.10509
354,2.10808,2.11407,2.111075
355,2.11407,2.12005,2.11706
356,2.12005,2.12604,2.1230450000000003
