,CT,r,d,h,Multiplet_no,Peak_no,Measurement_time,mean_A_meas,sigma_A_meas,mean_d_A_meas,sigma_d_A_meas,d_A_rel_meas,d_d_A_rel_meas,TOTAL_count_rate_above_1keV,d_TOTAL_count_rate_above_1keV
0,5.0,10.0,20.0,0.5,0,0,600.0,821819.4344786316,91364.35574470053,8387.616628361728,278.4199498757273,0.010342644801281217,0.0013108785176027965,298725.9247032074,1152.8369124386952
1,5.0,10.0,20.0,0.5,0,1,600.0,650056.1475553536,98300.97487175842,7207.734894857176,147.0874550330168,0.011378893136258348,0.0020731095067083568,298725.9247032074,1152.8369124386952
2,5.0,10.0,20.0,0.5,0,2,600.0,22834832.680868767,123115.08898202833,7294.319174346464,253.59411987453473,0.00031944601800249915,1.119329059191333e-05,298725.9247032074,1152.8369124386952
10,5.0,10.0,20.0,0.5,1,0,600.0,768921.0962233242,71327.19859506862,2073.541755394173,26.622084062385476,0.00271776438576493,0.00023011960681942613,298725.9247032074,1152.8369124386952
11,5.0,10.0,20.0,0.5,1,1,600.0,277404.65608885285,43227.29139215137,2223.0761053084784,27.245585885763916,0.00821495595441039,0.00132926710094362,298725.9247032074,1152.8369124386952
12,5.0,10.0,20.0,0.5,1,2,600.0,334061.52221777575,45066.132806734975,3037.155774232947,39.532879305366166,0.009260001514341004,0.001291185750672776,298725.9247032074,1152.8369124386952
13,5.0,10.0,20.0,0.5,1,3,600.0,87416.49243587347,33615.3456841062,2868.589070037282,36.122037278179704,27.411080879047415,865.0980194875707,298725.9247032074,1152.8369124386952
20,5.0,10.0,20.0,0.5,2,0,600.0,3282873.6571293613,102387.4956453794,2371.150062786614,30.053812560436498,0.0007227943592857663,1.790102649557491e-05,298725.9247032074,1152.8369124386952
21,5.0,10.0,20.0,0.5,2,1,600.0,805110.042041067,52362.90319658325,1490.8504434752354,27.907591004517542,0.001857905257344596,9.801344825245733e-05,298725.9247032074,1152.8369124386952
30,5.0,10.0,20.0,0.5,3,0,600.0,43218.148774475114,11671.442620754804,518.9366187442406,31.98387218094496,0.01295676117380147,0.0040649475510997155,298725.9247032074,1152.8369124386952
