,CT,r,d,h,Multiplet_no,Peak_no,Measurement_time,mean_A_meas,sigma_A_meas,mean_d_A_meas,sigma_d_A_meas,d_A_rel_meas,d_d_A_rel_meas,TOTAL_count_rate_above_1keV,d_TOTAL_count_rate_above_1keV
0,5.0,12.0,20.0,0.5,0,0,600.0,69736.99784109312,15556.338447642192,3321.0502637270697,55.63447589903557,933280.5593487136,29498160.856160454,55593.50579180484,195.79692161265092
1,5.0,12.0,20.0,0.5,0,1,600.0,69373.67764720475,16910.03004812787,2845.8500448019117,24.29575913917618,85289407.69939618,2695739002.7804937,55593.50579180484,195.79692161265092
2,5.0,12.0,20.0,0.5,0,2,600.0,2382239.5094894534,14249.123999329726,2624.516435474746,17.126511340978244,0.001101736083708804,9.207402309468784e-06,55593.50579180484,195.79692161265092
10,5.0,12.0,20.0,0.5,1,0,600.0,162381.84701310348,13095.24891143027,1140.8648088330535,9.92525538538459,0.007070975481255461,0.0005666459394341414,55593.50579180484,195.79692161265092
11,5.0,12.0,20.0,0.5,1,1,600.0,61037.87504958317,10372.305923001262,1281.4955919723452,11.364349677266635,0.02162835470295438,0.0038491118607588836,55593.50579180484,195.79692161265092
12,5.0,12.0,20.0,0.5,1,2,600.0,86366.7506926608,11113.037077171608,1773.2305094380192,21.384225062591707,0.02086365301253197,0.002635273433379817,55593.50579180484,195.79692161265092
13,5.0,12.0,20.0,0.5,1,3,600.0,19889.95855409354,7300.421800842287,1691.5304045771873,19.854238734557757,2288292.926793827,72325982.72794576,55593.50579180484,195.79692161265092
20,5.0,12.0,20.0,0.5,2,0,600.0,953528.1357693003,22532.793347849536,1327.7798494375506,10.865163439469619,0.001393042914993339,2.4146032232435754e-05,55593.50579180484,195.79692161265092
21,5.0,12.0,20.0,0.5,2,1,600.0,227510.94317937916,12623.390342602144,870.2021071254078,11.646985316525075,0.003834602618032446,0.0001788932409249585,55593.50579180484,195.79692161265092
30,5.0,12.0,20.0,0.5,3,0,600.0,15376.117994945185,3133.1827116790123,332.8438735239725,12.294248626568178,0.022567443914245842,0.0048648963200731195,55593.50579180484,195.79692161265092
31,5.0,12.0,20.0,0.5,3,1,600.0,123350.94016093889,9363.973374822155,528.5604527174871,15.263739051469134,0.00430123703627541,0.0002187594192046023,55593.50579180484,195.79692161265092
40,5.0,12.0,20.0,1.0,0,0,600.0,209020.03688575493,42465.227031533854,6633.712298208611,218.55398344244645,0.03324386747338633,0.008418264345772527,227506.34515894964,1095.0172291980343
41,5.0,12.0,20.0,1.0,0,1,600.0,175723.39537812668,43927.87696227462,5725.124488755033,103.27282033185435,28986.622856281494,916177.9579930003,227506.34515894964,1095.0172291980343
42,5.0,12.0,20.0,1.0,0,2,600.0,9217134.127357991,58815.58811690275,5241.574945649516,237.51154252213175,0.0005687084637610105,2.6439063639359555e-05,227506.34515894964,1095.0172291980343
50,5.0,12.0,20.0,1.0,1,0,600.0,714597.6967776717,54823.53863774076,2314.291801178328,19.023873331046826,0.003256792037191872,0.00023970754542340815,227506.34515894964,1095.0172291980343
51,5.0,12.0,20.0,1.0,1,1,600.0,336129.8041867342,48660.74699847075,2609.452134447811,29.752767509356172,0.00793471336187377,0.0012215851043197623,227506.34515894964,1095.0172291980343
52,5.0,12.0,20.0,1.0,1,2,600.0,368416.9051761932,41916.9213280167,3539.533785904455,128.5953691021484,0.009724319543139305,0.001104181002096945,227506.34515894964,1095.0172291980343
53,5.0,12.0,20.0,1.0,1,3,600.0,39730.03438833845,21018.096630060536,3356.003989268429,126.45857242501708,125297628816628.75,3960198234166594.5,227506.34515894964,1095.0172291980343
60,5.0,12.0,20.0,1.0,2,0,600.0,3812613.076532898,95848.35550061303,2645.4536379454053,24.256411833678193,0.0006941799296813713,1.2958208125520534e-05,227506.34515894964,1095.0172291980343
61,5.0,12.0,20.0,1.0,2,1,600.0,899344.3158690548,50106.477107711384,1708.4755872914138,23.070653462353953,0.0019044073356361405,8.590282030043575e-05,227506.34515894964,1095.0172291980343
70,5.0,12.0,20.0,1.0,3,0,600.0,46641.12387233765,11651.466674130224,619.9920922519656,25.32508947394911,0.0143777696740055,0.009060137226222342,227506.34515894964,1095.0172291980343
