,CT,r,d,h,Multiplet_no,Peak_no,Measurement_time,mean_A_meas,sigma_A_meas,mean_d_A_meas,sigma_d_A_meas,d_A_rel_meas,d_d_A_rel_meas,TOTAL_count_rate_above_1keV,d_TOTAL_count_rate_above_1keV
0,1.0,12.0,20.0,0.5,0,0,600.0,483042.642249817,365053.4294902766,5291.403150309786,1600.6257880994456,2296267360.3242135,72577575974.42102,341165.7822572459,9246.511932228661
1,1.0,12.0,20.0,0.5,0,1,600.0,142135.11248423587,311262.67800781335,5371.060794858491,1072.355522557065,1.1793176014635473e+19,3.5830861644343194e+20,341165.7822572459,9246.511932228661
2,1.0,12.0,20.0,0.5,0,2,600.0,5219269.490093579,2100756.5943262614,4797.659327228037,536.9143187051465,0.0010527747918917987,0.0003654581726142738,341165.7822572459,9246.511932228661
10,1.0,12.0,20.0,0.5,1,0,600.0,2713830.681578221,108140.83579976429,3322.600617229404,25.997747736846108,0.001226130659120916,4.632875684667924e-05,341165.7822572459,9246.511932228661
11,1.0,12.0,20.0,0.5,1,1,600.0,798160.3240692384,125751.15325143823,3724.3230396077465,50.370412488128885,0.004783757042369246,0.0007655060203292225,341165.7822572459,9246.511932228661
12,1.0,12.0,20.0,0.5,1,2,600.0,305140.01098229585,100443.19914014507,4960.312655352909,129.79248305386085,0.018062279178623363,0.00612406055706338,341165.7822572459,9246.511932228661
13,1.0,12.0,20.0,0.5,1,3,600.0,122537.62722154474,81607.57999859875,4791.25474073939,152.7449286789007,208158958428.59628,6529184649321.932,341165.7822572459,9246.511932228661
20,1.0,12.0,20.0,0.5,2,0,600.0,1316461.5185355952,71756.17914397582,2704.1071581928554,23.108102264083797,0.0020597293613276095,0.00010516909059053058,341165.7822572459,9246.511932228661
21,1.0,12.0,20.0,0.5,2,1,600.0,897048.1315693526,69881.69038981159,2578.384236733641,27.996766425143022,0.0028909490498407867,0.00021675250882845752,341165.7822572459,9246.511932228661
30,1.0,12.0,20.0,0.5,3,0,600.0,252933.3203672776,25530.849204876846,1760.7773575929255,41.238362556766596,0.0070290418794197755,0.0006981744104689967,341165.7822572459,9246.511932228661
