,CT,r,d,h,Multiplet_no,Peak_no,Measurement_time,mean_A_meas,sigma_A_meas,mean_d_A_meas,sigma_d_A_meas,d_A_rel_meas,d_d_A_rel_meas,TOTAL_count_rate_above_1keV,d_TOTAL_count_rate_above_1keV
0,0.3,14.0,20.0,0.5,0,0,600.0,2584.3191991180793,11934.571598381495,6344.377266823716,492.8584596094358,592512226.784137,5285945485.842323,356678.349614511,1010.0014268158583
1,0.3,14.0,20.0,0.5,0,1,600.0,85487.7851333263,21772.059768588333,4792.419907487447,237.4497485850315,14070815.788039654,437443097.7164743,356678.349614511,1010.0014268158583
2,0.3,14.0,20.0,0.5,0,2,600.0,330820.7387760111,31625.8071757344,3769.2654648079274,60.79318714398301,0.01151963035941244,0.0014198599830127579,356678.349614511,1010.0014268158583
10,0.3,14.0,20.0,0.5,1,0,600.0,1015215.4226708789,53246.29050268047,3112.0169967915795,45.23655557636205,0.0030734280339031416,0.00015963912541404237,356678.349614511,1010.0014268158583
11,0.3,14.0,20.0,0.5,1,1,600.0,385496.47684623324,52333.22560824331,3859.373707882135,39.062744432011165,0.010204694489603795,0.001467039023418795,356678.349614511,1010.0014268158583
12,0.3,14.0,20.0,0.5,1,2,600.0,277710.0702480923,48881.63308087748,5328.818584321158,179.62834520175747,0.01985040637556982,0.004049252752326492,356678.349614511,1010.0014268158583
13,0.3,14.0,20.0,0.5,1,3,600.0,64049.94916129805,36015.35990576636,5261.789216590972,182.15012986472232,266657040511.63895,6115173606810.733,356678.349614511,1010.0014268158583
20,0.3,14.0,20.0,0.5,2,0,600.0,433636.4124603125,42245.982371312464,2832.3814989480243,14.855557872746113,0.006592336099593231,0.0006292861877904625,356678.349614511,1010.0014268158583
21,0.3,14.0,20.0,0.5,2,1,600.0,458980.2596927589,36158.339300300984,2804.078171991339,16.409575359616305,0.006145360338545702,0.0004610546336761062,356678.349614511,1010.0014268158583
30,0.3,14.0,20.0,0.5,3,0,600.0,149109.74486676155,17878.038781526004,1647.402854573026,44.38898488228163,0.011201467508728294,0.0013310250808892272,356678.349614511,1010.0014268158583
31,0.3,14.0,20.0,0.5,3,1,600.0,2735122.536373012,63086.234713316684,2622.195896686895,45.59175806356723,0.0009590626527055167,2.1254252082741163e-05,356678.349614511,1010.0014268158583
40,0.3,14.0,20.0,1.0,0,0,600.0,219401.93727265557,191587.88614724707,12650.085822333791,1539.93642206394,3.565975724357339e+24,1.1270965656872123e+26,1425382.7862289257,4117.6603909553605
