,CT,r,d,h,Multiplet_no,Peak_no,Measurement_time,mean_A_meas,sigma_A_meas,mean_d_A_meas,sigma_d_A_meas,d_A_rel_meas,d_d_A_rel_meas,TOTAL_count_rate_above_1keV,d_TOTAL_count_rate_above_1keV
0,0.3,12.0,20.0,0.5,0,0,600.0,17211.265788727284,87217.71720849394,8440.604542771374,2419.046659801906,10977596313.355963,205409813915.85593,1328360.3122604012,5389.337499973968
1,0.3,12.0,20.0,0.5,0,1,600.0,515705.3587600235,249682.86259709342,11458.632683761723,613.9153955913634,9646062386.96905,286744611435.9406,1328360.3122604012,5389.337499973968
2,0.3,12.0,20.0,0.5,0,2,600.0,2544325.9183619097,337995.51765039243,7602.666222659873,276.53135143390796,0.0030336233278761013,0.00038670501775960536,1328360.3122604012,5389.337499973968
10,0.3,12.0,20.0,0.5,1,0,600.0,4045570.8408430223,252798.06807748045,5274.573726637819,86.1070872159427,0.0013086426171239408,8.059592313481316e-05,1328360.3122604012,5389.337499973968
11,0.3,12.0,20.0,0.5,1,1,600.0,1584286.3873030772,279839.1758528083,6393.641863462743,61.664950480134856,0.004167983058293132,0.0007813592911224402,1328360.3122604012,5389.337499973968
12,0.3,12.0,20.0,0.5,1,2,600.0,786596.7028911578,198753.77752385347,8742.997809407687,75.38452656785978,0.011950556657167911,0.0035642966871608697,1328360.3122604012,5389.337499973968
13,0.3,12.0,20.0,0.5,1,3,600.0,754886.513846373,177882.2497874225,8678.747727182223,152.98562048685122,0.012265470747064413,0.0037192194135814553,1328360.3122604012,5389.337499973968
20,0.3,12.0,20.0,0.5,2,0,600.0,1561500.3007295255,200411.19060563244,4574.421446468953,105.00378815991583,0.0029776366151029274,0.00038767461681798174,1328360.3122604012,5389.337499973968
21,0.3,12.0,20.0,0.5,2,1,600.0,1482660.3169050307,190765.61710498238,4511.91362333424,93.45996498483017,0.0030939015581698975,0.0004060142202722643,1328360.3122604012,5389.337499973968
30,0.3,12.0,20.0,0.5,3,0,600.0,565642.707155915,92642.47977378573,2619.3749137346617,101.87064070369206,0.004753829505837746,0.0008025906367743212,1328360.3122604012,5389.337499973968
31,0.3,12.0,20.0,0.5,3,1,600.0,7551438.477152988,294771.3827270846,4230.6298573029435,130.52149270399406,0.0005608526198648407,2.2229942546129616e-05,1328360.3122604012,5389.337499973968
40,0.3,12.0,20.0,1.0,0,0,600.0,667517.1009828968,800243.4552336328,25505.573575769205,4835.110241824303,5570094798.245861,101002270444.33453,5384695.273892063,17719.09802845285
41,0.3,12.0,20.0,1.0,0,1,600.0,2998420.8936235704,1257606.670339152,22851.537146079554,1243.2761148814934,1701922456.6199718,53787701860.73918,5384695.273892063,17719.09802845285
42,0.3,12.0,20.0,1.0,0,2,600.0,10552688.225640358,1327096.9990439818,16252.74453720336,605.1651003226067,0.0015653647860081644,0.00021209796614395367,5384695.273892063,17719.09802845285
50,0.3,12.0,20.0,1.0,1,0,600.0,16518705.29505913,1420972.5603388231,10733.265914757714,265.55856920080737,0.0006544076081848762,5.716776614289863e-05,5384695.273892063,17719.09802845285
51,0.3,12.0,20.0,1.0,1,1,600.0,3548850.0071035707,704859.631453454,12597.84783433606,131.37788502934555,0.0037232516285147722,0.00099297304203795,5384695.273892063,17719.09802845285
52,0.3,12.0,20.0,1.0,1,2,600.0,2663304.6082326137,704100.0588453694,17488.964013422486,225.94209935974473,0.007173779067846661,0.002845256682017785,5384695.273892063,17719.09802845285
53,0.3,12.0,20.0,1.0,1,3,600.0,2523409.712112996,723459.9165233313,17442.741791489014,360.91618449934384,21957850.689203776,694020935.804095,5384695.273892063,17719.09802845285
60,0.3,12.0,20.0,1.0,2,0,600.0,6068748.611609581,751396.3902885675,9298.655205670068,362.4698628677927,0.0015561229954061423,0.00020676456829523304,5384695.273892063,17719.09802845285
61,0.3,12.0,20.0,1.0,2,1,600.0,5134043.990662532,629377.7029135032,8855.198038254723,405.4924841395709,0.0017507753690265593,0.00023647595571521486,5384695.273892063,17719.09802845285
70,0.3,12.0,20.0,1.0,3,0,600.0,1412945.1153835128,271303.72702362185,4921.850952766679,276.9395297014061,0.0036255814576759385,0.0008311365077942577,5384695.273892063,17719.09802845285
71,0.3,12.0,20.0,1.0,3,1,600.0,27521603.885042086,1129898.3856035934,8052.365815638654,467.3960897589464,0.0002929254255976469,1.8539052148185333e-05,5384695.273892063,17719.09802845285
80,0.3,12.0,40.0,0.5,0,0,600.0,105481.90711278492,71376.93576688766,6991.356129159011,343.17062960690413,13812924084.20759,429987903653.199,354561.037754033,1365.4786312604135
81,0.3,12.0,40.0,0.5,0,1,600.0,345575.39960109274,89034.88371905962,5911.395530418154,207.6501274909636,0.01845361813635471,0.005853956659123215,354561.037754033,1365.4786312604135
82,0.3,12.0,40.0,0.5,0,2,600.0,991434.1090624282,170663.31257156443,4263.749419893393,59.543221987549074,0.004432689161928225,0.0008019262851706774,354561.037754033,1365.4786312604135
90,0.3,12.0,40.0,0.5,1,0,600.0,1254011.7755412837,70046.37114669704,2749.896339265914,24.018324248063198,0.0021993850323441385,0.00011809233057889665,354561.037754033,1365.4786312604135
91,0.3,12.0,40.0,0.5,1,1,600.0,479445.1550628809,68494.61247326499,3226.198067769076,32.604480221875136,0.006872461691604233,0.0010458250721127784,354561.037754033,1365.4786312604135
92,0.3,12.0,40.0,0.5,1,2,600.0,245806.3789009595,51735.26811768745,4391.543619829022,36.69768845083562,0.018898863462270675,0.005709075757455495,354561.037754033,1365.4786312604135
93,0.3,12.0,40.0,0.5,1,3,600.0,256206.04007194788,67294.42910223818,4408.44173790445,50.54162004226472,0.0194509191647241,0.020241405847853087,354561.037754033,1365.4786312604135
100,0.3,12.0,40.0,0.5,2,0,600.0,372817.43724254216,50949.784553232326,2314.961307820847,19.44309469944102,0.006323017162529399,0.0008491322494862834,354561.037754033,1365.4786312604135
101,0.3,12.0,40.0,0.5,2,1,600.0,472563.5880315487,54162.21374563722,2315.4686963783793,21.65972446817884,0.0049634868276427595,0.0005650775598419575,354561.037754033,1365.4786312604135
110,0.3,12.0,40.0,0.5,3,0,600.0,115544.93605429656,27031.543852277737,1313.9953396713827,44.31935286651293,0.012064875603489615,0.0032791515155761405,354561.037754033,1365.4786312604135
