,CT,r,d,h,Multiplet_no,Peak_no,Measurement_time,mean_A_meas,sigma_A_meas,mean_d_A_meas,sigma_d_A_meas,d_A_rel_meas,d_d_A_rel_meas,TOTAL_count_rate_above_1keV,d_TOTAL_count_rate_above_1keV
0,1.0,10.0,20.0,0.5,0,0,600.0,3312708.165230402,442098.9928313131,15231.18763396379,1198.572738758668,0.004686055678981963,0.0007705223517235469,1310734.6113212851,4394.450193556814
1,1.0,10.0,20.0,0.5,0,1,600.0,4871166.005406525,372039.3430047779,13051.371891781564,343.7307891926629,0.0026947480704270135,0.00021543308378366816,1310734.6113212851,4394.450193556814
2,1.0,10.0,20.0,0.5,0,2,600.0,25721618.465642832,537833.1083122942,10307.571528875864,520.6153441755976,0.00040089358696946553,2.1673740160083035e-05,1310734.6113212851,4394.450193556814
10,1.0,10.0,20.0,0.5,1,0,600.0,11417414.922994511,326819.10855173494,5988.432911907548,42.932543570874664,0.0005248607996555366,1.2933099863312855e-05,1310734.6113212851,4394.450193556814
11,1.0,10.0,20.0,0.5,1,1,600.0,3691148.7524330895,257407.03678481793,6344.5243409467275,82.31823174173614,0.0017272207896662033,0.00012255389804060194,1310734.6113212851,4394.450193556814
12,1.0,10.0,20.0,0.5,1,2,600.0,1538540.4318012688,241075.13523574208,8351.631683422165,150.58445626765663,0.005564329114595568,0.0008976221404943463,1310734.6113212851,4394.450193556814
13,1.0,10.0,20.0,0.5,1,3,600.0,896813.2413794844,271008.0407958895,7957.864923658475,129.65705421311677,0.009801890949651514,0.0034644984069101058,1310734.6113212851,4394.450193556814
20,1.0,10.0,20.0,0.5,2,0,600.0,4695953.3431948805,298223.78752017015,4498.3367997339965,49.516155204962736,0.0009613767586549707,5.524024968704388e-05,1310734.6113212851,4394.450193556814
21,1.0,10.0,20.0,0.5,2,1,600.0,2742908.272250231,237394.22658904424,4145.19746423302,46.83678531494463,0.0015218879267182219,0.00012488750143497718,1310734.6113212851,4394.450193556814
30,1.0,10.0,20.0,0.5,3,0,600.0,905127.475447704,213830.81949383672,2886.115285012605,137.43289388493392,0.003379215928604589,0.0009647924286914668,1310734.6113212851,4394.450193556814
31,1.0,10.0,20.0,0.5,3,1,600.0,10789207.544822585,270639.61264953617,4843.260803832827,134.89312017644647,0.0004490921132859033,1.4202126088540644e-05,1310734.6113212851,4394.450193556814
40,1.0,10.0,20.0,1.0,0,0,600.0,11935183.690562714,1484288.3179870294,29984.3973766666,2842.5483106906786,0.002553423379001287,0.000413645326472744,5317914.313665897,17790.189584702555
