,CT,r,d,h,Multiplet_no,Peak_no,Measurement_time,mean_A_meas,sigma_A_meas,mean_d_A_meas,sigma_d_A_meas,d_A_rel_meas,d_d_A_rel_meas,TOTAL_count_rate_above_1keV,d_TOTAL_count_rate_above_1keV
41,1.0,10.0,20.0,1.0,0,1,600.0,16656457.558895059,1503895.5281250884,26220.305893575915,889.08681910125,0.0015865384454501585,0.00014789390093390063,5317914.313665897,17790.189584702555
42,1.0,10.0,20.0,1.0,0,2,600.0,97590899.99137793,1984181.3542383874,20485.728480157853,1051.2644916548015,0.00020999819902655886,1.1510824250963027e-05,5317914.313665897,17790.189584702555
50,1.0,10.0,20.0,1.0,1,0,600.0,42998160.54217181,1478979.2195259954,11902.689979363435,231.5793789620979,0.00027709791524075343,9.737990211563907e-06,5317914.313665897,17790.189584702555
51,1.0,10.0,20.0,1.0,1,1,600.0,14017392.24822938,1097917.846669932,12320.51442839259,136.02324392978693,0.0008839143911949965,6.425117514923818e-05,5317914.313665897,17790.189584702555
52,1.0,10.0,20.0,1.0,1,2,600.0,5326256.912022606,760896.4095585054,16045.482860107648,157.64690571213308,0.003076940856153799,0.0004634067542795089,5317914.313665897,17790.189584702555
53,1.0,10.0,20.0,1.0,1,3,600.0,2326063.4208012554,660871.363792999,15456.64432681064,273.0391832538067,0.007419123017095202,0.0038139568968391237,5317914.313665897,17790.189584702555
60,1.0,10.0,20.0,1.0,2,0,600.0,18011108.07733133,928336.9022110092,8843.510012641258,230.113072656688,0.0004921475895253717,2.5571043685649563e-05,5317914.313665897,17790.189584702555
61,1.0,10.0,20.0,1.0,2,1,600.0,10161969.062430793,752038.1594445488,8098.053759762488,319.5175291622212,0.0008008293917665298,6.213736874019165e-05,5317914.313665897,17790.189584702555
70,1.0,10.0,20.0,1.0,3,0,600.0,3201131.3783630608,334778.6968527529,5368.389240127435,341.22580132187056,0.0016949021886189007,0.00020624411146149394,5317914.313665897,17790.189584702555
71,1.0,10.0,20.0,1.0,3,1,600.0,41723207.40732557,1281446.411619388,9292.175128193569,537.0110467297527,0.0002228550436330097,1.3535624619373964e-05,5317914.313665897,17790.189584702555
80,1.0,10.0,40.0,0.5,0,0,600.0,1009177.121781157,137174.2367529966,8157.67452094658,374.02479377257634,0.008232762861632766,0.001182228876117305,352859.96227998385,2218.37905475507
81,1.0,10.0,40.0,0.5,0,1,600.0,1367823.0442376486,129686.08482553941,6927.054959174482,125.16760178428011,0.0051086492024693675,0.0004806990598332907,352859.96227998385,2218.37905475507
82,1.0,10.0,40.0,0.5,0,2,600.0,7137302.172914865,346997.3783056303,5541.134287869663,158.41176290612077,0.0007784437070132401,4.8036590108932536e-05,352859.96227998385,2218.37905475507
90,1.0,10.0,40.0,0.5,1,0,600.0,3314807.817814512,110966.3736408941,3124.7397507394635,32.48371831107193,0.0009435633966766664,2.8360722673846637e-05,352859.96227998385,2218.37905475507
91,1.0,10.0,40.0,0.5,1,1,600.0,979600.814534085,88720.99794216461,3164.5683231566063,33.303915008724736,0.003257555548684432,0.0003040624806953038,352859.96227998385,2218.37905475507
92,1.0,10.0,40.0,0.5,1,2,600.0,396413.69888118637,60059.7147187015,4165.314239783792,92.7999368215452,0.010765044498049318,0.0017656109210486522,352859.96227998385,2218.37905475507
93,1.0,10.0,40.0,0.5,1,3,600.0,398352.77925929875,183586.76472599644,4102.034061388262,144.96517532143417,10141117.667807488,137082608.74135044,352859.96227998385,2218.37905475507
100,1.0,10.0,40.0,0.5,2,0,600.0,1270636.0429017944,66958.90653438236,2234.750095809044,23.972760631952717,0.0017629424175858875,8.0411918567921e-05,352859.96227998385,2218.37905475507
101,1.0,10.0,40.0,0.5,2,1,600.0,822655.9116334965,57144.28862626107,2080.9028202857808,22.5958613055935,0.0025403727486362744,0.0001585251152793893,352859.96227998385,2218.37905475507
110,1.0,10.0,40.0,0.5,3,0,600.0,198128.42541833615,26203.056386215012,1398.2960322400031,30.444193667151673,0.007170748258893765,0.0008907610165919104,352859.96227998385,2218.37905475507
111,1.0,10.0,40.0,0.5,3,1,600.0,2725777.6664460106,84465.26881346614,2421.880058135344,39.22090632126849,0.0008890609708166837,2.0546545536909564e-05,352859.96227998385,2218.37905475507
120,1.0,10.0,40.0,1.0,0,0,600.0,3840731.017140859,428363.8110506954,15947.459417622822,1162.0494202027505,0.00420542624378474,0.000566492302078151,1416244.6774367653,4461.775489206233
121,1.0,10.0,40.0,1.0,0,1,600.0,5816858.864214992,448266.287352354,13717.44928383199,371.7981615729388,0.0023715975576578154,0.00018555066618807336,1416244.6774367653,4461.775489206233
122,1.0,10.0,40.0,1.0,0,2,600.0,29650484.62104442,438223.2751096111,10883.210430147297,472.1965912861658,0.0003671204489909009,1.6546176651722507e-05,1416244.6774367653,4461.775489206233
130,1.0,10.0,40.0,1.0,1,0,600.0,13043430.965722125,405234.8046388946,6242.809307585848,64.30630824222158,0.0004789935572421068,1.2825149723954358e-05,1416244.6774367653,4461.775489206233
131,1.0,10.0,40.0,1.0,1,1,600.0,4582426.147443291,427590.46619765245,6483.929022626962,95.81522580587655,0.001425958805085001,0.0001193688751595294,1416244.6774367653,4461.775489206233
132,1.0,10.0,40.0,1.0,1,2,600.0,1426514.4799262618,227983.74717069152,8315.434170842087,118.47748759931642,0.005990177682777306,0.0010456651824032172,1416244.6774367653,4461.775489206233
133,1.0,10.0,40.0,1.0,1,3,600.0,503628.2900382229,174827.21485579308,7928.255513542148,149.30408489885022,1477028761.3814285,46163005054.570366,1416244.6774367653,4461.775489206233
140,1.0,10.0,40.0,1.0,2,0,600.0,4855621.368246483,288966.0982380298,4512.27800261949,56.4613556908222,0.0009321792876853604,4.9577464167297524e-05,1416244.6774367653,4461.775489206233
141,1.0,10.0,40.0,1.0,2,1,600.0,2975898.0340850446,234989.3288924098,4200.939334490097,53.259961227160034,0.0014196490585710873,0.00010282042055395548,1416244.6774367653,4461.775489206233
150,1.0,10.0,40.0,1.0,3,0,600.0,621444.6967281967,87471.22549467812,2731.180395625728,72.28162346422727,0.0044781075626187565,0.0006176284707488724,1416244.6774367653,4461.775489206233
151,1.0,10.0,40.0,1.0,3,1,600.0,10872060.35455639,342544.89540029695,4828.287507569475,135.26047096649032,0.00044437158883154916,1.4010318579277828e-05,1416244.6774367653,4461.775489206233
160,1.0,10.0,60.0,0.5,0,0,600.0,319583.8578804916,38587.02816314556,5397.868759205622,208.78230519038854,0.017145067305217327,0.002250002547566287,160631.80829776375,672.8696667425218
161,1.0,10.0,60.0,0.5,0,1,600.0,540586.3259984403,37280.549682702636,4611.5286988671005,65.22374725539672,0.008571294924126581,0.0006058326107404036,160631.80829776375,672.8696667425218
162,1.0,10.0,60.0,0.5,0,2,600.0,3495250.464981868,46131.34896838111,3719.6127771676543,90.95769341819339,0.0010643625400489156,2.891220809217472e-05,160631.80829776375,672.8696667425218
170,1.0,10.0,60.0,0.5,1,0,600.0,1528866.594170282,50894.527146792745,2098.9527755858553,26.52783157235042,0.0013741415838444393,4.093715729001845e-05,160631.80829776375,672.8696667425218
171,1.0,10.0,60.0,0.5,1,1,600.0,456642.80130575626,29593.80302658971,2119.8876342188605,18.173834272300123,0.004660868851402734,0.00028964034482024275,160631.80829776375,672.8696667425218
172,1.0,10.0,60.0,0.5,1,2,600.0,209005.31422413158,25905.018923063024,2810.032508955764,31.679534639835765,0.013658753498145486,0.0017670702546235006,160631.80829776375,672.8696667425218
173,1.0,10.0,60.0,0.5,1,3,600.0,140968.45946557692,30390.731184390468,2733.4980812087856,37.61783774812451,0.0204013294170997,0.0050237095539629436,160631.80829776375,672.8696667425218
180,1.0,10.0,60.0,0.5,2,0,600.0,621986.634140673,35828.71870516368,1529.1922234106673,17.033410571408492,0.0024654461607179065,0.00012083136381072401,160631.80829776375,672.8696667425218
181,1.0,10.0,60.0,0.5,2,1,600.0,419709.4850874991,26930.655125202004,1421.6001986265405,15.230541221199015,0.003399511410797971,0.00019570426561169575,160631.80829776375,672.8696667425218
190,1.0,10.0,60.0,0.5,3,0,600.0,81160.75452854311,11584.69661090123,937.0047168380339,19.7358053523734,0.011761868391323028,0.0015619452744595143,160631.80829776375,672.8696667425218
191,1.0,10.0,60.0,0.5,3,1,600.0,1296562.631403691,41901.63510819094,1659.4738650644758,27.078435606503717,0.0012807645394657694,3.0288591733939302e-05,160631.80829776375,672.8696667425218
200,1.0,10.0,60.0,1.0,0,0,600.0,1721232.8582307373,122497.01501198964,10912.889653276141,398.434609847107,0.006372256237496656,0.0005142121459070333,647962.0919972925,2091.035979367784
201,1.0,10.0,60.0,1.0,0,1,600.0,2695983.615457345,146776.99513886007,9375.271064051938,172.91447811733576,0.0034873708273141487,0.00019242331989912978,647962.0919972925,2091.035979367784
202,1.0,10.0,60.0,1.0,0,2,600.0,13759558.347079318,158148.36476748082,7464.8462535157,251.42410618002765,0.0005425850130619671,1.9133217015098733e-05,647962.0919972925,2091.035979367784
210,1.0,10.0,60.0,1.0,1,0,600.0,5838999.448589653,168650.79159932781,4151.248826927123,38.27491103755208,0.0007114273762370905,1.724214091349041e-05,647962.0919972925,2091.035979367784
211,1.0,10.0,60.0,1.0,1,1,600.0,2072922.638926137,159844.03859705667,4295.633850781711,47.537776581889624,0.0020835045859365765,0.00014747887606201084,647962.0919972925,2091.035979367784
212,1.0,10.0,60.0,1.0,1,2,600.0,759939.744289335,99081.57356398278,5570.644913798196,55.45430858889225,0.007456060181532533,0.0009846147394519684,647962.0919972925,2091.035979367784
213,1.0,10.0,60.0,1.0,1,3,600.0,258024.3135816028,80152.04516931776,5301.357303514904,76.9106803829285,0.0232685720054192,0.010548994468153288,647962.0919972925,2091.035979367784
220,1.0,10.0,60.0,1.0,2,0,600.0,2551330.2478772667,167324.73101186217,3065.924938619519,43.77962348593761,0.0012059458773439407,6.564052103568677e-05,647962.0919972925,2091.035979367784
221,1.0,10.0,60.0,1.0,2,1,600.0,1853887.6992544665,188508.71758063263,2871.5577465398756,54.2168188444833,0.0015625366133953141,0.00013547327095199085,647962.0919972925,2091.035979367784
230,1.0,10.0,60.0,1.0,3,0,600.0,334368.2078151153,42850.574556962754,1870.3162173200944,51.9357589146596,0.00567649803637997,0.0006719881514076617,647962.0919972925,2091.035979367784
231,1.0,10.0,60.0,1.0,3,1,600.0,5145258.820420355,174843.68970456484,3302.467660576442,69.73509272552536,0.0006423233616683825,1.77148946783961e-05,647962.0919972925,2091.035979367784
